"Rank";"Name";"Platform";"Year";"Genre";"Publisher";"Global_Sales"
2673;"Dragon Ball: Raging Blast";"PS3";"2009";"Fighting";"Namco Bandai Games";0,77
2678;"My Baby Girl";"DS";"2008";"Simulation";"Nobilis";0,77
2679;"LEGO Batman 2: DC Super Heroes";"DS";"2012";"Action";"Warner Bros. Interactive Entertainment";0,77
2688;"Sonic Unleashed";"PS2";"2008";"Platform";"Sega";0,76
2690;"Plants vs. Zombies: Garden Warfare";"PS3";"2014";"Shooter";"Electronic Arts";0,76
2691;"Raving Rabbids: Travel in Time";"Wii";"2010";"Adventure";"Ubisoft";0,76
2692;"The Sims 3";"3DS";"2011";"Simulation";"Electronic Arts";0,76
2697;"Mortal Kombat";"PSV";"2012";"Fighting";"Warner Bros. Interactive Entertainment";0,76
2699;"Lost Planet 2";"X360";"2010";"Shooter";"Capcom";0,76
2700;"SoulCalibur V";"PS3";"2012";"Fighting";"Namco Bandai Games";0,76
2701;"Portal 2";"PC";"2011";"Shooter";"Valve Software";0,76
2703;"Pro Evolution Soccer 2015";"PS4";"2014";"Sports";"Konami Digital Entertainment";0,76
2704;"Drawn to Life: The Next Chapter";"Wii";"2009";"Puzzle";"THQ";0,76
2705;"The Lord of the Rings: Conquest";"PS3";"2009";"Action";"Electronic Arts";0,76
2711;"FIFA Soccer 11";"PS2";"2010";"Sports";"Electronic Arts";0,76
2712;"Deer Drive";"Wii";"2009";"Sports";"Big Ben Interactive";0,76
2713;"Kane & Lynch: Dead Men";"X360";"2007";"Shooter";"Eidos Interactive";0,76
2714;"Assassin's Creed: Revelations";"PC";"2011";"Action";"Ubisoft";0,76
2716;"Ace Attorney Investigations: Miles Edgeworth";"DS";"2009";"Adventure";"Capcom";0,76
2718;"FIFA 15";"Wii";"2014";"Sports";"Electronic Arts";0,76
2720;"Need for Speed: Shift";"PSP";"2009";"Racing";"Electronic Arts";0,76
2721;"Kane & Lynch: Dead Men";"PS3";"2007";"Shooter";"Eidos Interactive";0,76
2722;"Dark Souls II";"X360";"2014";"Role-Playing";"Namco Bandai Games";0,76
2726;"Monopoly Streets";"Wii";"2010";"Misc";"Electronic Arts";0,76
2728;"Harvest Moon: Animal Parade";"Wii";"2008";"Simulation";"Rising Star Games";0,76
2730;"Total War: Rome II";"PC";"2013";"Strategy";"Sega";0,76
